,city,URL,title,date,time,venue,details,user,tags
123,Seattle,N/A,N/A,N/A,N/A,N/A,"rt @aew: emerald city, get ready! #aew finally makes its long-awaited seattle debut wednesday, january 4th, 2023 for #aewdynamite live from…",Twitter User @RonBuddha,"['aew', 'aewdynamite']"
124,Seattle,N/A,N/A,N/A,N/A,N/A,"rt @aew: emerald city, get ready! #aew finally makes its long-awaited seattle debut wednesday, january 4th, 2023 for #aewdynamite live from…",Twitter User @ptc1pez,"['aew', 'aewdynamite']"
125,Seattle,N/A,N/A,N/A,N/A,N/A,"rt @aew: emerald city, get ready! #aew finally makes its long-awaited seattle debut wednesday, january 4th, 2023 for #aewdynamite live from…",Twitter User @rmorfnyc,"['aew', 'aewdynamite']"
126,Seattle,N/A,N/A,N/A,N/A,N/A,beloved show teatro zinzanni returns home to seattle - what's up this week https://t.co/wwwfgotjeg,Twitter User @KING5Seattle,[]
127,Seattle,N/A,N/A,N/A,N/A,N/A,"rt @aew: emerald city, get ready! #aew finally makes its long-awaited seattle debut wednesday, january 4th, 2023 for #aewdynamite live from…",Twitter User @VicHolland_SCS,"['aew', 'aewdynamite']"
128,Seattle,N/A,N/A,N/A,N/A,N/A,"rt @aew: emerald city, get ready! #aew finally makes its long-awaited seattle debut wednesday, january 4th, 2023 for #aewdynamite live from…",Twitter User @Wrestle65801593,"['aew', 'aewdynamite']"
129,Seattle,N/A,N/A,N/A,N/A,N/A,"rt @aew: emerald city, get ready! #aew finally makes its long-awaited seattle debut wednesday, january 4th, 2023 for #aewdynamite live from…",Twitter User @nickkemp12,"['aew', 'aewdynamite']"
130,Seattle,N/A,N/A,N/A,N/A,N/A,"rt @aew: emerald city, get ready! #aew finally makes its long-awaited seattle debut wednesday, january 4th, 2023 for #aewdynamite live from…",Twitter User @vc_dolores,"['aew', 'aewdynamite']"
131,Seattle,N/A,N/A,N/A,N/A,N/A,"rt @aew: emerald city, get ready! #aew finally makes its long-awaited seattle debut wednesday, january 4th, 2023 for #aewdynamite live from…",Twitter User @1ADouble85,"['aew', 'aewdynamite']"
132,Seattle,N/A,N/A,N/A,N/A,N/A,"rt @aew: emerald city, get ready! #aew finally makes its long-awaited seattle debut wednesday, january 4th, 2023 for #aewdynamite live from…",Twitter User @DannyDiaz60,"['aew', 'aewdynamite']"
133,Seattle,N/A,N/A,N/A,N/A,N/A,"rt @aew: emerald city, get ready! #aew finally makes its long-awaited seattle debut wednesday, january 4th, 2023 for #aewdynamite live from…",Twitter User @basedpawg,"['aew', 'aewdynamite']"
134,Seattle,N/A,N/A,N/A,N/A,N/A,"rt @aew: emerald city, get ready! #aew finally makes its long-awaited seattle debut wednesday, january 4th, 2023 for #aewdynamite live from…",Twitter User @Klemenz3Ricky,"['aew', 'aewdynamite']"
135,Seattle,N/A,N/A,N/A,N/A,N/A,"emerald city, get ready! #aew finally makes its long-awaited seattle debut wednesday, january 4th, 2023 for #aewdynamite live from the @climatearena! 

tickets starting at $35 (+fees) are on sale now! https://t.co/un1cnijjrq i https://t.co/y4ectnntfi https://t.co/mmj5u7ec70",Twitter User @AEW,"['aew', 'aewdynamite']"
136,Seattle,N/A,N/A,N/A,N/A,N/A,"the geekwire gala -- the seattle tech community's stylish holiday party -- is this wednesday, dec. 7th!

enjoy an evening of conversation, tasty treats, festive cocktails, and great music in the heart of seattle.

get tickets: https://t.co/qliecjrqy8 https://t.co/qhenewjeif",Twitter User @geekwire,[]
137,Seattle,N/A,N/A,N/A,N/A,N/A,@containmentnu het was vanaf begin duidelijk dat het vooral via de lucht ging (superspread-events bijv. het besmette koor in seattle),Twitter User @karelstrijker,[]
138,Seattle,N/A,N/A,N/A,N/A,N/A,"@grievesmusic is a seattle-based artist who fuses elements of indie into his emotional brand of hip-hop.

catch @grievesmusic - out cold tour with @mousepowell, #zacivie, + #dumbluck at the @aggie_theatre on 2/19!

presented by @partyguruus 
tix/info: https://t.co/v6ahc1mcxs https://t.co/0iulsfidjs",Twitter User @Aggie_Theatre,"['zacivie', 'dumbluck']"
